paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,age_days,text_for_embedding
10.1145/3637528.3671815,Advanced,,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2026-06-03,2026-06-03,https://doi.org/10.1145/3637528.3671815,https://doi.org/10.1145/3637528.3671815,Crossref record 10.1145/3637528.3671815,"Duc Vu, Thao Dang","Databases, Information Systems",0,114,"Title: Advanced
Authors: Duc Vu, Thao Dang
Published: 2026-06-03
Categories: Databases, Information Systems
Summary: "
10.1145/3637528.3671814,Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems,~~||## xQzv9__zz #@!$%^&* %%ERR%% 0xDEADBEEF #@!$%^&* 0xDEADBEEF @@??@@,"['Anh Tran', 'Quoc Pham']","['Software Engineering', 'Data Systems']",Software Engineering,2026-06-02,2026-06-02,https://doi.org/10.1145/3637528.3671814,https://doi.org/10.1145/3637528.3671814,Crossref record 10.1145/3637528.3671814,"Anh Tran, Quoc Pham","Software Engineering, Data Systems",71,115,"Title: Advanced Perspectives on Data Observability and Quality Gates for Production RAG Systems
Authors: Anh Tran, Quoc Pham
Published: 2026-06-02
Categories: Software Engineering, Data Systems
Summary: ~~||## xQzv9__zz #@!$%^&* %%ERR%% 0xDEADBEEF #@!$%^&* 0xDEADBEEF @@??@@"
10.1145/3637528.3671813,Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,An extended empirical study on etrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices Further analysis on scaling parameters. xQzv9__zz %%ERR%% #@!$%^&* @@??@@ @@??@@ ~~||## #@!$%^&* 0xDEADBEEF,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2026-06-01,2026-06-01,https://doi.org/10.1145/3637528.3671813,https://doi.org/10.1145/3637528.3671813,Crossref record 10.1145/3637528.3671813,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",360,116,"Title: Advanced Perspectives on Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2026-06-01
Categories: Artificial Intelligence, Information Retrieval
Summary: An extended empirical study on etrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices Further analysis on scaling parameters. xQzv9__zz %%ERR%% #@!$%^&* @@??@@ @@??@@ ~~||## #@!$%^&* 0xDEADBEEF"
10.1145/3637528.3671801,Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks,Retrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices. ~~||## 0xDEADBEEF @@??@@ @@??@@ @@??@@ xQzv9__zz ~~||## ~~||##,"['Minh Nguyen', 'Hoang Le']","['Artificial Intelligence', 'Information Retrieval']",Artificial Intelligence,2021-05-20,2021-05-20,https://doi.org/10.1145/3637528.3671801,https://doi.org/10.1145/3637528.3671801,Crossref record 10.1145/3637528.3671801,"Minh Nguyen, Hoang Le","Artificial Intelligence, Information Retrieval",286,1954,"Title: Agentic Retrieval-Augmented Generation for Knowledge-Intensive Tasks
Authors: Minh Nguyen, Hoang Le
Published: 2021-05-20
Categories: Artificial Intelligence, Information Retrieval
Summary: Retrieval-Augmented Generation (RAG) significantly improves large language model accuracy by grounding responses in retrieved passages. We explore agentic multi-hop reasoning and routing across heterogeneous vector indices. ~~||## 0xDEADBEEF @@??@@ @@??@@ @@??@@ xQzv9__zz ~~||## ~~||##"
10.1145/3637528.3671811,Hybrid Search Architectures: Combining BM25 with Dense Representations,Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall. ~~||## #@!$%^&* %%ERR%% #@!$%^&* @@??@@ @@??@@ 0xDEADBEEF @@??@@,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2021-05-14,2021-05-14,https://doi.org/10.1145/3637528.3671811,https://doi.org/10.1145/3637528.3671811,Crossref record 10.1145/3637528.3671811,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",264,1960,"Title: Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Published: 2021-05-14
Categories: Information Retrieval, Algorithms
Summary: Dense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall. ~~||## #@!$%^&* %%ERR%% #@!$%^&* @@??@@ @@??@@ 0xDEADBEEF @@??@@"
10.1145/3637528.3671806,Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy.","['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2026-05-02,2026-05-02,https://doi.org/10.1145/3637528.3671806,https://doi.org/10.1145/3637528.3671806,Crossref record 10.1145/3637528.3671806,"Huy Dinh, Trang Vo","Databases, Information Systems",206,146,"Title: Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2026-05-02
Categories: Databases, Information Systems
Summary: Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy."
10.1145/3637528.3671809,Chunking Strategies for Technical Documentation Retrieval,~~||## 0xDEADBEEF ~~||## xQzv9__zz 0xDEADBEEF ~~||## #@!$%^&* ~~||##,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2026-04-30,2026-04-30,https://doi.org/10.1145/3637528.3671809,https://doi.org/10.1145/3637528.3671809,Crossref record 10.1145/3637528.3671809,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",68,148,"Title: Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2026-04-30
Categories: Information Retrieval, Natural Language Processing
Summary: ~~||## 0xDEADBEEF ~~||## xQzv9__zz 0xDEADBEEF ~~||## #@!$%^&* ~~||##"
10.1145/3637528.3671803,Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing,,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2026-04-18,2026-04-18,https://doi.org/10.1145/3637528.3671803,https://doi.org/10.1145/3637528.3671803,Crossref record 10.1145/3637528.3671803,"Duc Vu, Thao Dang","Databases, Information Systems",0,160,"Title: Mitigating Ghost Vectors in Dense Retrieval via Idempotent Indexing
Authors: Duc Vu, Thao Dang
Published: 2026-04-18
Categories: Databases, Information Systems
Summary: "
10.1145/3637528.3671805,Evaluating Retrieval Precision with Token F1 and LLM Judges,"Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions.","['Tuan Phan', 'Mai Bui']","['Natural Language Processing', 'Evaluation Methodology']",Natural Language Processing,2026-03-28,2026-03-28,https://doi.org/10.1145/3637528.3671805,https://doi.org/10.1145/3637528.3671805,Crossref record 10.1145/3637528.3671805,"Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",206,181,"Title: Evaluating Retrieval Precision with Token F1 and LLM Judges
Authors: Tuan Phan, Mai Bui
Published: 2026-03-28
Categories: Natural Language Processing, Evaluation Methodology
Summary: Evaluating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions."
10.1145/3637528.3671822,Advanced,An extended empirical study on mbedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model Further analysis on scaling parameters.,"['Son Nguyen', 'Thuy Doan']","['Data Quality', 'DevOps']",Data Quality,2026-06-10,2026-06-10,https://doi.org/10.1145/3637528.3671822,https://doi.org/10.1145/3637528.3671822,Crossref record 10.1145/3637528.3671822,"Son Nguyen, Thuy Doan","Data Quality, DevOps",272,107,"Title: Advanced
Authors: Son Nguyen, Thuy Doan
Published: 2026-06-10
Categories: Data Quality, DevOps
Summary: An extended empirical study on mbedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model Further analysis on scaling parameters."
10.1145/3637528.3671821,Advanced Perspectives on Chunking Strategies for Technical Documentation Retrieval,An extended empirical study on ierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows Further analysis on scaling parameters.,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2026-06-09,2026-06-09,https://doi.org/10.1145/3637528.3671821,https://doi.org/10.1145/3637528.3671821,Crossref record 10.1145/3637528.3671821,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",266,108,"Title: Advanced Perspectives on Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2026-06-09
Categories: Information Retrieval, Natural Language Processing
Summary: An extended empirical study on ierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows Further analysis on scaling parameters."
10.1145/3637528.3671815,Advanced,,"['Duc Vu', 'Thao Dang']","['Databases', 'Information Systems']",Databases,2026-06-03,2026-06-03,https://doi.org/10.1145/3637528.3671815,https://doi.org/10.1145/3637528.3671815,Crossref record 10.1145/3637528.3671815,"Duc Vu, Thao Dang","Databases, Information Systems",0,114,"Title: Advanced
Authors: Duc Vu, Thao Dang
Published: 2026-06-03
Categories: Databases, Information Systems
Summary: "
10.1145/3637528.3671806,Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy.","['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2026-05-02,2026-05-02,https://doi.org/10.1145/3637528.3671806,https://doi.org/10.1145/3637528.3671806,Crossref record 10.1145/3637528.3671806,"Huy Dinh, Trang Vo","Databases, Information Systems",206,146,"Title: Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Published: 2026-05-02
Categories: Databases, Information Systems
Summary: Connecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy."
10.1145/3637528.3671809,Chunking Strategies for Technical Documentation Retrieval,~~||## 0xDEADBEEF ~~||## xQzv9__zz 0xDEADBEEF ~~||## #@!$%^&* ~~||##,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2026-04-30,2026-04-30,https://doi.org/10.1145/3637528.3671809,https://doi.org/10.1145/3637528.3671809,Crossref record 10.1145/3637528.3671809,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",68,148,"Title: Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Published: 2026-04-30
Categories: Information Retrieval, Natural Language Processing
Summary: ~~||## 0xDEADBEEF ~~||## xQzv9__zz 0xDEADBEEF ~~||## #@!$%^&* ~~||##"
